,customer_name,gender,age,city,state,order_id,order_date,delivery_date,product_id,price_per_unit,quantity,total_price,product_type,product_name,size,colour,stock,delivary_duration
36,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,995,2021-04-14,2021-04-28,756,109,2,218,Jacket,Peacoat,S,blue,50,1
37,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,995,2021-04-14,2021-04-28,24,96,3,288,Shirt,Oxford Cloth,XL,blue,60,1
38,Avril Rossiter,Genderfluid,34,Kiehnburgh,Western Australia,995,2021-04-14,2021-04-28,244,106,1,106,Shirt,Chambray,XL,violet,54,1
39,Gabbie Aldwinckle,Male,75,New Kai,Victoria,885,2021-10-18,2021-11-13,511,102,2,204,Jacket,Windbreaker,S,blue,41,2
40,Gabbie Aldwinckle,Male,75,New Kai,Victoria,885,2021-10-18,2021-11-13,930,96,3,288,Trousers,Drawstring,XS,blue,45,2
41,Gabbie Aldwinckle,Male,75,New Kai,Victoria,885,2021-10-18,2021-11-13,1222,105,2,210,Trousers,Pleated,M,violet,45,2
42,Gabbie Aldwinckle,Male,75,New Kai,Victoria,885,2021-10-18,2021-11-13,1012,106,3,318,Trousers,Wool,M,violet,51,2
43,Gabbie Aldwinckle,Male,75,New Kai,Victoria,885,2021-10-18,2021-11-13,71,118,2,236,Shirt,Flannel,S,red,59,2
44,Chan Duchesne,Male,79,Walterland,New South Wales,191,2021-01-22,2021-02-15,219,106,1,106,Shirt,Chambray,XL,orange,57,2
45,Chan Duchesne,Male,79,Walterland,New South Wales,191,2021-01-22,2021-02-15,1077,93,2,186,Trousers,Joggers,M,indigo,66,2
46,Chan Duchesne,Male,79,Walterland,New South Wales,191,2021-01-22,2021-02-15,130,92,2,184,Shirt,Denim,XS,indigo,79,2
47,Chan Duchesne,Male,79,Walterland,New South Wales,191,2021-01-22,2021-02-15,74,118,1,118,Shirt,Flannel,XL,red,72,2
48,Chan Duchesne,Male,79,Walterland,New South Wales,191,2021-01-22,2021-02-15,23,96,2,192,Shirt,Oxford Cloth,L,blue,59,2
49,Chan Duchesne,Male,79,Walterland,New South Wales,191,2021-01-22,2021-02-15,282,105,1,105,Shirt,Cuban Collar,M,red,53,2
50,Chan Duchesne,Male,79,Walterland,New South Wales,354,2021-02-26,2021-03-08,620,112,2,224,Jacket,Cardigan,XS,indigo,70,1
51,Chan Duchesne,Male,79,Walterland,New South Wales,354,2021-02-26,2021-03-08,324,109,1,109,Shirt,Mandarin Collar,XL,orange,59,1
52,Chan Duchesne,Male,79,Walterland,New South Wales,354,2021-02-26,2021-03-08,147,91,1,91,Shirt,Linen,M,orange,42,1
53,Chan Duchesne,Male,79,Walterland,New South Wales,354,2021-02-26,2021-03-08,550,98,3,294,Jacket,Leather,XS,indigo,78,1
54,Chan Duchesne,Male,79,Walterland,New South Wales,354,2021-02-26,2021-03-08,976,97,1,97,Trousers,Slim-Fit,S,violet,46,1
55,Chan Duchesne,Male,79,Walterland,New South Wales,354,2021-02-26,2021-03-08,409,119,2,238,Shirt,Casual Slim Fit,XL,blue,68,1
56,Chan Duchesne,Male,79,Walterland,New South Wales,354,2021-02-26,2021-03-08,713,119,3,357,Jacket,Trench Coat,L,yellow,77,1
57,Chadwick Cruddas,Agender,41,West Bailey,Victoria,274,2021-04-13,2021-04-27,942,96,1,96,Trousers,Drawstring,M,violet,73,1
58,Chadwick Cruddas,Agender,41,West Bailey,Victoria,274,2021-04-13,2021-04-27,1140,102,2,204,Trousers,Cargo Pants,XS,blue,73,1
59,Chadwick Cruddas,Agender,41,West Bailey,Victoria,274,2021-04-13,2021-04-27,73,118,3,354,Shirt,Flannel,L,red,77,1
60,Chadwick Cruddas,Agender,41,West Bailey,Victoria,274,2021-04-13,2021-04-27,1225,112,1,112,Trousers,Tracksuit Bottoms,XS,red,55,1
61,Chadwick Cruddas,Agender,41,West Bailey,Victoria,274,2021-04-13,2021-04-27,513,102,3,306,Jacket,Windbreaker,L,blue,41,1
62,Chadwick Cruddas,Agender,41,West Bailey,Victoria,274,2021-04-13,2021-04-27,581,100,1,100,Jacket,Bomber,S,blue,50,1
63,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,432,2021-10-20,2021-11-03,191,98,3,294,Shirt,Camp Collared,S,green,60,1
64,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,432,2021-10-20,2021-11-03,652,93,1,93,Jacket,Coach,M,blue,54,1
65,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,432,2021-10-20,2021-11-03,769,109,2,218,Jacket,Peacoat,XL,violet,42,1
66,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,432,2021-10-20,2021-11-03,6,96,1,96,Shirt,Oxford Cloth,S,orange,72,1
67,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,641,2021-03-10,2021-03-22,1249,112,1,112,Trousers,Tracksuit Bottoms,XL,blue,68,1
68,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,641,2021-03-10,2021-03-22,25,96,1,96,Shirt,Oxford Cloth,XS,indigo,61,1
69,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,641,2021-03-10,2021-03-22,161,91,2,182,Shirt,Linen,S,blue,77,1
70,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,641,2021-03-10,2021-03-22,1039,90,1,90,Trousers,Relaxed Leg,XL,blue,40,1
71,Gigi Kalaher,Genderqueer,55,East Audrey,South Australia,641,2021-03-10,2021-03-22,840,113,3,339,Trousers,Chinos,XS,red,69,1
72,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,1145,102,1,102,Trousers,Cargo Pants,XS,indigo,51,9
73,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,1006,106,3,318,Trousers,Wool,S,indigo,45,9
74,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,197,98,2,196,Shirt,Camp Collared,M,blue,65,9
75,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,235,106,3,318,Shirt,Chambray,XS,indigo,75,9
76,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,968,97,1,97,Trousers,Slim-Fit,L,blue,49,9
77,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,851,113,2,226,Trousers,Chinos,S,yellow,40,9
78,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,628,112,1,112,Jacket,Cardigan,L,violet,66,9
79,Seana Hearons,Non-binary,31,South Callum,Tasmania,377,2021-05-19,2021-05-28,126,92,1,92,Shirt,Denim,S,blue,47,9
80,Seana Hearons,Non-binary,31,South Callum,Tasmania,616,2021-05-13,2021-05-14,615,112,2,224,Jacket,Cardigan,XS,blue,54,1
81,Seana Hearons,Non-binary,31,South Callum,Tasmania,616,2021-05-13,2021-05-14,215,106,2,212,Shirt,Chambray,XS,orange,76,1
82,Seana Hearons,Non-binary,31,South Callum,Tasmania,616,2021-05-13,2021-05-14,1252,112,1,112,Trousers,Tracksuit Bottoms,M,indigo,59,1
83,Seana Hearons,Non-binary,31,South Callum,Tasmania,616,2021-05-13,2021-05-14,422,107,3,321,Jacket,Denim,M,red,43,1
84,Seana Hearons,Non-binary,31,South Callum,Tasmania,664,2021-01-07,2021-01-20,811,117,1,117,Jacket,Shearling,S,orange,53,1
85,Seana Hearons,Non-binary,31,South Callum,Tasmania,664,2021-01-07,2021-01-20,312,105,1,105,Shirt,Cuban Collar,M,violet,67,1
86,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,788,91,3,273,Jacket,Pullover,L,green,72,1
87,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,388,119,2,238,Shirt,Casual Slim Fit,L,red,78,1
88,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,1149,102,3,306,Trousers,Cargo Pants,XL,indigo,64,1
89,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,955,97,3,291,Trousers,Slim-Fit,XS,yellow,59,1
90,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,48,104,3,312,Shirt,Dress,L,yellow,56,1
91,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,481,118,1,118,Jacket,Puffer,S,indigo,62,1
92,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,1079,93,1,93,Trousers,Joggers,XL,indigo,66,1
93,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,478,118,3,354,Jacket,Puffer,L,blue,48,1
94,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,903,94,1,94,Trousers,Cords,L,indigo,62,1
95,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,214,106,1,106,Shirt,Chambray,XL,red,42,1
96,Blayne Sabatier,Non-binary,20,Maxberg,Victoria,668,2021-03-15,2021-03-30,77,118,3,354,Shirt,Flannel,M,orange,68,1
97,Alair Grimwad,Female,32,North Mia,Tasmania,515,2021-05-23,2021-06-13,576,100,1,100,Jacket,Bomber,S,green,54,2
98,Alair Grimwad,Female,32,North Mia,Tasmania,515,2021-05-23,2021-06-13,1007,106,3,318,Trousers,Wool,M,indigo,56,2
99,Alair Grimwad,Female,32,North Mia,Tasmania,515,2021-05-23,2021-06-13,817,117,1,117,Jacket,Shearling,M,yellow,60,2
100,Alair Grimwad,Female,32,North Mia,Tasmania,515,2021-05-23,2021-06-13,1057,93,2,186,Trousers,Joggers,M,orange,52,2
101,Alair Grimwad,Female,32,North Mia,Tasmania,515,2021-05-23,2021-06-13,346,109,1,109,Shirt,Mandarin Collar,S,violet,73,2
102,Alair Grimwad,Female,32,North Mia,Tasmania,515,2021-05-23,2021-06-13,1181,99,1,99,Trousers,High-Waisted,S,indigo,79,2
103,Alair Grimwad,Female,32,North Mia,Tasmania,515,2021-05-23,2021-06-13,860,113,3,339,Trousers,Chinos,XS,blue,69,2
104,Ernaline Luce,Genderqueer,75,Olivershire,Victoria,609,2021-04-22,2021-05-08,536,98,2,196,Jacket,Leather,S,yellow,41,1
105,Ernaline Luce,Genderqueer,75,Olivershire,Victoria,609,2021-04-22,2021-05-08,196,98,3,294,Shirt,Camp Collared,S,blue,75,1
106,Ernaline Luce,Genderqueer,75,Olivershire,Victoria,609,2021-04-22,2021-05-08,900,94,3,282,Trousers,Cords,XS,indigo,47,1
107,Ernaline Luce,Genderqueer,75,Olivershire,Victoria,609,2021-04-22,2021-05-08,177,98,1,98,Shirt,Camp Collared,M,red,64,1
108,Ernaline Luce,Genderqueer,75,Olivershire,Victoria,609,2021-04-22,2021-05-08,1033,90,3,270,Trousers,Relaxed Leg,L,green,62,1
109,Ernaline Luce,Genderqueer,75,Olivershire,Victoria,609,2021-04-22,2021-05-08,872,113,1,113,Trousers,Chinos,M,violet,54,1
110,Timothy Compston,Genderqueer,50,New Oliverside,New South Wales,550,2021-08-04,2021-08-09,63,104,3,312,Shirt,Dress,L,indigo,71,5
111,Timothy Compston,Genderqueer,50,New Oliverside,New South Wales,550,2021-08-04,2021-08-09,707,119,2,238,Jacket,Trench Coat,M,orange,43,5
112,Timothy Compston,Genderqueer,50,New Oliverside,New South Wales,550,2021-08-04,2021-08-09,399,119,1,119,Shirt,Casual Slim Fit,XL,yellow,78,5
113,Timothy Compston,Genderqueer,50,New Oliverside,New South Wales,550,2021-08-04,2021-08-09,623,112,2,224,Jacket,Cardigan,L,indigo,40,5
114,Timothy Compston,Genderqueer,50,New Oliverside,New South Wales,550,2021-08-04,2021-08-09,1233,112,3,336,Trousers,Tracksuit Bottoms,L,orange,73,5
115,Timothy Compston,Genderqueer,50,New Oliverside,New South Wales,550,2021-08-04,2021-08-09,97,118,1,118,Shirt,Flannel,M,indigo,69,5
116,Jayme Turvie,Polygender,55,Lake Alanafort,Western Australia,748,2021-05-16,2021-06-06,743,109,3,327,Jacket,Peacoat,L,orange,45,2
117,Jayme Turvie,Polygender,55,Lake Alanafort,Western Australia,748,2021-05-16,2021-06-06,167,91,2,182,Shirt,Linen,M,indigo,72,2
118,Jayme Turvie,Polygender,55,Lake Alanafort,Western Australia,748,2021-05-16,2021-06-06,405,119,2,238,Shirt,Casual Slim Fit,XS,blue,55,2
119,Jayme Turvie,Polygender,55,Lake Alanafort,Western Australia,748,2021-05-16,2021-06-06,1133,102,3,306,Trousers,Cargo Pants,L,yellow,71,2
120,Jayme Turvie,Polygender,55,Lake Alanafort,Western Australia,748,2021-05-16,2021-06-06,991,106,2,212,Trousers,Wool,S,yellow,69,2
121,Hadley Baddam,Non-binary,79,West Noah,Queensland,208,2021-10-10,2021-10-15,501,102,2,204,Jacket,Windbreaker,S,yellow,66,5
122,Hadley Baddam,Non-binary,79,West Noah,Queensland,208,2021-10-10,2021-10-15,231,106,2,212,Shirt,Chambray,S,blue,61,5
123,Hadley Baddam,Non-binary,79,West Noah,Queensland,208,2021-10-10,2021-10-15,895,94,1,94,Trousers,Cords,XS,blue,60,5
124,Hadley Baddam,Non-binary,79,West Noah,Queensland,208,2021-10-10,2021-10-15,744,109,1,109,Jacket,Peacoat,XL,orange,69,5
125,Hadley Baddam,Non-binary,79,West Noah,Queensland,208,2021-10-10,2021-10-15,1006,106,1,106,Trousers,Wool,S,indigo,45,5
126,Hadley Baddam,Non-binary,79,West Noah,Queensland,208,2021-10-10,2021-10-15,486,118,3,354,Jacket,Puffer,S,violet,46,5
127,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,711,119,2,238,Jacket,Trench Coat,S,yellow,59,1
128,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,1128,102,3,306,Trousers,Cargo Pants,L,orange,78,1
129,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,206,98,1,98,Shirt,Camp Collared,S,violet,80,1
130,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,972,97,1,97,Trousers,Slim-Fit,M,indigo,67,1
131,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,860,113,3,339,Trousers,Chinos,XS,blue,69,1
132,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,683,113,2,226,Jacket,Parka,L,green,55,1
133,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,900,94,2,188,Trousers,Cords,XS,indigo,47,1
134,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,512,102,2,204,Jacket,Windbreaker,M,blue,70,1
135,Hadley Baddam,Non-binary,79,West Noah,Queensland,226,2021-07-09,2021-07-23,517,102,1,102,Jacket,Windbreaker,M,indigo,56,1
136,Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,267,2021-09-11,2021-09-12,252,95,1,95,Shirt,Polo,M,orange,67,1
137,Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,267,2021-09-11,2021-09-12,298,105,2,210,Shirt,Cuban Collar,L,green,58,1
138,Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,267,2021-09-11,2021-09-12,372,94,3,282,Shirt,Henley,M,blue,42,1
139,Ninon Corteney,Non-binary,55,Sauerfort,Western Australia,267,2021-09-11,2021-09-12,1069,93,3,279,Trousers,Joggers,XL,green,56,1
140,Adamo Saddington,Male,80,Port Lucas,Queensland,844,2021-09-26,2021-10-18,1222,105,2,210,Trousers,Pleated,M,violet,45,2
141,Adamo Saddington,Male,80,Port Lucas,Queensland,844,2021-09-26,2021-10-18,134,92,3,276,Shirt,Denim,XL,indigo,58,2
142,Adamo Saddington,Male,80,Port Lucas,Queensland,844,2021-09-26,2021-10-18,1024,90,3,270,Trousers,Relaxed Leg,XL,orange,80,2
143,Adamo Saddington,Male,80,Port Lucas,Queensland,844,2021-09-26,2021-10-18,139,92,1,92,Shirt,Denim,XL,violet,73,2
144,Adamo Saddington,Male,80,Port Lucas,Queensland,844,2021-09-26,2021-10-18,586,100,3,300,Jacket,Bomber,S,indigo,41,2
145,Adamo Saddington,Male,80,Port Lucas,Queensland,948,2021-08-24,2021-09-02,972,97,2,194,Trousers,Slim-Fit,M,indigo,67,9
146,Adamo Saddington,Male,80,Port Lucas,Queensland,948,2021-08-24,2021-09-02,1246,112,1,112,Trousers,Tracksuit Bottoms,S,blue,48,9
147,Adamo Saddington,Male,80,Port Lucas,Queensland,948,2021-08-24,2021-09-02,121,92,1,92,Shirt,Denim,S,green,49,9
148,Adamo Saddington,Male,80,Port Lucas,Queensland,948,2021-08-24,2021-09-02,896,94,1,94,Trousers,Cords,S,blue,59,9
149,Regan Gronaller,Polygender,59,Port Claudia,New South Wales,732,2021-05-09,2021-05-29,650,93,3,279,Jacket,Coach,XS,blue,51,2
150,Regan Gronaller,Polygender,59,Port Claudia,New South Wales,732,2021-05-09,2021-05-29,1142,102,1,102,Trousers,Cargo Pants,M,blue,64,2
151,Regan Gronaller,Polygender,59,Port Claudia,New South Wales,732,2021-05-09,2021-05-29,278,95,2,190,Shirt,Polo,L,violet,76,2
152,Regan Gronaller,Polygender,59,Port Claudia,New South Wales,753,2021-02-20,2021-02-28,394,119,1,119,Shirt,Casual Slim Fit,XL,orange,53,8
153,Regan Gronaller,Polygender,59,Port Claudia,New South Wales,753,2021-02-20,2021-02-28,742,109,1,109,Jacket,Peacoat,M,orange,47,8
154,Regan Gronaller,Polygender,59,Port Claudia,New South Wales,753,2021-02-20,2021-02-28,983,106,3,318,Trousers,Wool,L,red,74,8
155,Hana Stitch,Male,65,Port Ella,New South Wales,320,2021-08-22,2021-09-12,940,96,1,96,Trousers,Drawstring,XS,violet,62,2
156,Hana Stitch,Male,65,Port Ella,New South Wales,320,2021-08-22,2021-09-12,596,112,3,336,Jacket,Cardigan,S,red,47,2
157,Hana Stitch,Male,65,Port Ella,New South Wales,320,2021-08-22,2021-09-12,1137,102,3,306,Trousers,Cargo Pants,M,green,78,2
158,Hana Stitch,Male,65,Port Ella,New South Wales,320,2021-08-22,2021-09-12,1235,112,3,336,Trousers,Tracksuit Bottoms,XS,yellow,76,2
159,Hana Stitch,Male,65,Port Ella,New South Wales,320,2021-08-22,2021-09-12,836,117,1,117,Jacket,Shearling,S,violet,49,2
160,Hana Stitch,Male,65,Port Ella,New South Wales,320,2021-08-22,2021-09-12,844,113,2,226,Trousers,Chinos,XL,red,71,2
161,Horatius Genever,Genderqueer,37,Gabriellatown,Victoria,778,2021-01-24,2021-02-07,594,100,2,200,Jacket,Bomber,XL,violet,53,1
162,Horatius Genever,Genderqueer,37,Gabriellatown,Victoria,778,2021-01-24,2021-02-07,536,98,3,294,Jacket,Leather,S,yellow,41,1
163,Horatius Genever,Genderqueer,37,Gabriellatown,Victoria,778,2021-01-24,2021-02-07,526,98,1,98,Jacket,Leather,S,red,80,1
164,Horatius Genever,Genderqueer,37,Gabriellatown,Victoria,778,2021-01-24,2021-02-07,1147,102,2,204,Trousers,Cargo Pants,M,indigo,51,1
165,Horatius Genever,Genderqueer,37,Gabriellatown,Victoria,778,2021-01-24,2021-02-07,230,106,2,212,Shirt,Chambray,XS,blue,76,1
166,Horatius Genever,Genderqueer,37,Gabriellatown,Victoria,778,2021-01-24,2021-02-07,780,91,1,91,Jacket,Pullover,XS,yellow,65,1
167,Avivah Chipchase,Bigender,60,Eliburgh,Tasmania,787,2021-07-18,2021-07-31,966,97,1,97,Trousers,Slim-Fit,S,blue,49,1
168,Avivah Chipchase,Bigender,60,Eliburgh,Tasmania,787,2021-07-18,2021-07-31,68,104,2,208,Shirt,Dress,L,violet,74,1
169,Avivah Chipchase,Bigender,60,Eliburgh,Tasmania,787,2021-07-18,2021-07-31,508,102,2,204,Jacket,Windbreaker,L,green,62,1
170,Avivah Chipchase,Bigender,60,Eliburgh,Tasmania,787,2021-07-18,2021-07-31,1077,93,3,279,Trousers,Joggers,M,indigo,66,1
171,Avivah Chipchase,Bigender,60,Eliburgh,Tasmania,787,2021-07-18,2021-07-31,397,119,1,119,Shirt,Casual Slim Fit,M,yellow,76,1
172,Avivah Chipchase,Bigender,60,Eliburgh,Tasmania,787,2021-07-18,2021-07-31,356,94,2,188,Shirt,Henley,S,orange,46,1
173,Avivah Chipchase,Bigender,60,Eliburgh,Tasmania,787,2021-07-18,2021-07-31,1182,99,1,99,Trousers,High-Waisted,M,indigo,61,1
174,Vicki Stockwell,Male,27,Leofurt,Australian Capital Territory,932,2021-08-22,2021-08-23,382,94,3,282,Shirt,Henley,M,violet,44,1
175,Vicki Stockwell,Male,27,Leofurt,Australian Capital Territory,932,2021-08-22,2021-08-23,821,117,1,117,Jacket,Shearling,S,green,66,1
176,Meris Twitty,Agender,68,Bartolettiside,Australian Capital Territory,355,2021-04-14,2021-04-24,72,118,2,236,Shirt,Flannel,M,red,68,1
177,Meris Twitty,Agender,68,Bartolettiside,Australian Capital Territory,355,2021-04-14,2021-04-24,134,92,2,184,Shirt,Denim,XL,indigo,58,1
178,Meris Twitty,Agender,68,Bartolettiside,Australian Capital Territory,355,2021-04-14,2021-04-24,379,94,1,94,Shirt,Henley,XL,indigo,52,1
179,Meris Twitty,Agender,68,Bartolettiside,Australian Capital Territory,355,2021-04-14,2021-04-24,200,98,2,196,Shirt,Camp Collared,XS,indigo,64,1
180,Jarrett Brumby,Polygender,54,Lake Nicholasfurt,Western Australia,410,2021-08-04,2021-08-09,660,93,1,93,Jacket,Coach,XS,violet,58,5
181,Jarrett Brumby,Polygender,54,Lake Nicholasfurt,Western Australia,410,2021-08-04,2021-08-09,1049,90,1,90,Trousers,Relaxed Leg,XL,violet,42,5
182,Shanna Pietrzyk,Female,56,Port Alyssa,Queensland,534,2021-09-23,2021-09-26,276,95,3,285,Shirt,Polo,S,violet,43,3
